3 6
yaiC b0385
proC b0386
yaiI b0387
aroL b0388
yaiA b0389
aroM b0390
yaiE b0391
ykiA b0392
rdgC b0393
mak b0394
araJ b0396
sbcC b0397
sbcD b0398
phoB b0399
phoR b0400
brnQ b0401
proY b0402
malZ b0403
yajB b0404
queA b0405
tgt b0406
yajC b0407
secD b0408
secF b0409
yajD b0410
tsx b0411
yajI b0412
ybaD b0413
ribD b0414
ribE b0415
nusB b0416
thiL b0417
pgpA b0418
yajO b0419
dxs b0420
ispA b0421
xseB b0422
thiI b0423
yajL b0424
panE b0425
yajQ b0426
yajR b0427
cyoE b0428
cyoD b0429
cyoC b0430
cyoB b0431
cyoA b0432
ampG b0433
yajG b0434
bolA b0435
tig b0436
clpP b0437
clpX b0438
lon b0439
hupB b0440
ppiD b0441
ybaV b0442
ybaW b0443
ybaX b0444
ybaE b0445
cof b0446
ybaO b0447
mdlA b0448
mdlB b0449
glnK b0450
amtB b0451
tesB b0452
ybaY b0453
ybaZ b0454
ffs b0455
ybaA b0456
ylaB b0457
ylaC b0458
maa b0459
hha b0460
ybaJ b0461
acrB b0462
acrA b0463
acrR b0464
kefA b0465
ybaM b0466
priC b0467
ybaN b0468
apt b0469
dnaX b0470
ybaB b0471
recR b0472
htpG b0473
adk b0474
hemH b0475
aes b0476
gsk b0477
ybaL b0478
fsr b0479
ushA b0480
ybaK b0481
ybaP b0482
ybaQ b0483
copA b0484
ybaS b0485
ybaT b0486
cueR b0487
ybbJ b0488
ybbK b0489
ybbL b0490
ybbM b0491
ybbN b0492
ybbO b0493
tesA b0494
ybbA b0495
ybbP b0496
rhsD b0497
ybbC b0498
ylbH b0499
ybbD b0500
ylbG b0502
ybbB b0503
ybbS b0504
allA b0505
allR b0506
gcl b0507
hyi b0508
glxR b0509
ybbV b0510
ybbW b0511
allB b0512
ybbY b0513
glxK b0514
ylbA b0515
allC b0516
allD b0517
fdrA b0518
ylbE b4572
ylbE b4507
ylbE b0519
ylbF b0520
ybcF b0521
purK b0522
purE b0523
lpxH b0524
ppiB b0525
cysS b0526
ybcI b0527
ybcJ b0528
folD b0529
sfmA b0530
sfmC b0531
sfmD b0532
sfmH b0533
sfmF b0534
fimZ b0535
argU b0536
intD b0537
ybcC b0539
ybcD b4508
renD b0542
emrE b0543
ybcK b0544
ybcL b0545
ybcM b0546
ybcN b0547
ninE b0548
ybcO b0549
rusA b0550
ylcG b4509
ybcQ b0551
nmpC b0553
essD b0554
ybcS b0555
rzpD b0556
rzoD b4510
borD b0557
ybcV b0558
ybcW b0559
nohB b0560
tfaD b0561
ybcY b0562
ylcE b0563
appY b0564
ompT b0565
envY b0566
ybcH b0567
nfrA b0568
nfrB b0569
cusS b0570
cusR b0571
cusC b0572
cusF b0573
cusB b0574
