3 6
yeaB b1813
sdaA b1814
yoaD b1815
yoaE b1816
manX b1817
manY b1818
manZ b1819
yobD b1820
yebN b1821
rrmA b1822
cspC b1823
yobF b1824
yebO b1825
yobG b1826
yobH b4536
kdgR b1827
yebQ b1828
htpX b1829
prc b1830
proQ b1831
yebR b1832
yebS b1833
yebT b1834
yebU b1835
yebV b1836
yebW b1837
pphA b1838
ryeA b4432
ryeB b4433
yebY b1839
yebZ b1840
yobA b1841
holE b1842
yobB b1843
exoX b1844
ptrB b1845
yebE b1846
yebF b1847
yebG b1848
purT b1849
eda b1850
edd b1851
zwf b1852
yebK b1853
pykA b1854
lpxM b1855
yebA b1856
znuA b1857
znuC b1858
znuB b1859
ruvB b1860
ruvA b1861
yebB b1862
ruvC b1863
yebC b1864
nudB b1865
aspS b1866
yecD b1867
yecE b1868
yecN b1869
yecO b1870
yecP b1871
torZ b1872
torY b1873
cutC b1874
yecM b1875
argS b1876
yecT b1877
flhE b1878
flhA b1879
flhB b1880
cheZ b1881
cheY b1882
cheB b1883
cheR b1884
tap b1885
tar b1886
cheW b1887
cheA b1888
motB b1889
motA b1890
flhC b1891
flhD b1892
yecG b1895
otsA b1896
otsB b1897
araH b4460
araG b1900
araF b1901
yecI b1902
yecJ b4537
isrB b4434
yecR b1904
ftn b1905
yecH b1906
tyrP b1907
yecA b1908
leuZ b1909
cysT b1910
glyW b1911
pgsA b1912
uvrC b1913
uvrY b1914
yecF b1915
sdiA b1916
yecC b1917
yecS b1918
yedO b1919
fliY b1920
fliZ b1921
fliA b1922
fliC b1923
fliD b1924
fliS b1925
fliT b1926
amyA b1927
yedD b1928
yedE b1929
yedF b1930
yedK b1931
yedL b1932
yedN b4495
yedN b1934
yedN b1933
yedM b1935
intG b1936
fliE b1937
fliF b1938
fliG b1939
fliH b1940
fliI b1941
fliJ b1942
fliK b1943
fliL b1944
fliM b1945
fliN b1946
fliO b1947
fliP b1948
fliQ b1949
fliR b1950
rcsA b1951
dsrB b1952
yodD b1953
dsrA b1954
yedP b1955
yedQ b1956
yodC b1957
yedI b1958
yedA b1959
vsr b1960
dcm b1961
yedJ b1962
yedR b1963
yedS b4496
yedS b1966
yedS b1965
yedS b1964
hchA b1967
yedV b1968
yedW b1969
yedX b1970
yedY b1971
yedZ b1972
yodA b1973
yodB b1974
serU b1975
yeeI b1976
asnT b1977
yeeJ b1978
yeeL b4497
yeeL b1980
yeeL b1979
shiA b1981
amn b1982
yeeN b1983
asnW b1984
yeeO b1985
asnU b1986
cbl b1987
nac b1988
asnV b1989
erfK b1990
cobT b1991
cobS b1992
cobU b1993
yoeA b1995
yoeE b1998
yeeP b1999
isrC b4435
flu b2000
yeeR b2001
yeeS b2002
yeeT b2003
yeeU b2004
yeeV b2005
yeeW b2006
yoeF b4538
yeeX b2007
yeeA b2008
sbmC b2009
dacD b2010
sbcB b2011
yeeD b2012
yeeE b2013
yeeF b2014
yeeY b2015
yeeZ b2016
yoeB b4539
yefM b2017
hisL b2018
hisG b2019
hisD b2020
hisC b2021
hisB b2022
hisH b2023
hisA b2024
hisF b2025
hisI b2026
cld b2027
ugd b2028
gnd b2029
wbbL b4571
wbbL b4540
wbbL b2031
wbbK b2032
wbbJ b2033
wbbI b2034
wbbH b2035
glf b2036
rfbX b2037
rfbC b2038
rfbA b2039
rfbD b2040
rfbB b2041
galF b2042
wcaM b2043
wcaL b2044
wcaK b2045
wzxC b2046
wcaJ b2047
cpsG b2048
cpsB b2049
wcaI b2050
nudD b2051
fcl b2052
gmd b2053
wcaF b2054
wcaE b2055
wcaD b2056
wcaC b2057
wcaB b2058
wcaA b2059
wzc b2060
wzb b2061
wza b2062
yegH b2063
asmA b2064
dcd b2065
udk b2066
yegE b2067
alkA b2068
yegD b2069
yegI b2070
yegJ b2071
yegK b2072
yegL b2073
ryeC b4436
ryeD b4437
mdtA b2074
mdtB b2075
mdtC b2076
mdtD b2077
baeS b2078
baeR b2079
yegP b2080
yegQ b2081
ryeE b4438
ogrK b2082
yegZ b2083
yegR b2085
yegS b2086
gatR b2090
gatR b2087
gatR b4498
gatD b2091
gatC b2092
gatB b2093
gatA b2094
gatA b2094
gatA b2094
gatZ b2095
gatY b2096
fbaB b2097
yegT b2098
yegU b2099
yegV b2100
yegW b2101
yegX b2102
thiD b2103
thiM b2104
yohL b2105
yohM b2106
yohN b2107
yehA b2108
yehB b2109
yehC b2110
yehD b2111
yehE b2112
mrp b2113
metG b2114
molR b4499
molR b2117
molR b2116
molR b2115
yehI b2118
yehK b4541
yehL b2119
yehM b2120
yehP b2121
yehQ b2122
yehR b2123
yehS b2124
yehT b2125
yehU b2126
mlrA b2127
yohO b4542
yehW b2128
yehX b2129
yehY b2130
yehZ b2131
bglX b2132
dld b2133
pbpG b2134
yohC b2135
yohD b2136
yohF b2137
yohG b2138
yohH b2139
dusC b2140
yohJ b2141
yohK b2142
cdd b2143
sanA b2144
yeiS b2145
yeiT b2146
yeiA b2147
mglC b2148
mglA b2149
mglB b2150
galS b2151
yeiB b2152
folE b2153
yeiG b2154
cirA b2155
lysP b2156
yeiE b2157
yeiH b2158
nfo b2159
yeiI b2160
yeiJ b2161
rihB b2162
yeiL b2163
yeiM b2164
yeiN b2165
yeiC b2166
fruA b2167
fruK b2168
fruB b2169
setB b2170
yeiW b4502
yeiP b2171
yeiQ b2172
yeiR b2173
yeiU b2174
spr b2175
rtn b2176
yejA b2177
yejB b2178
yejE b2179
yejF b2180
yejG b2181
bcr b2182
rsuA b2183
yejH b2184
rplY b2185
yejK b2186
yejL b2187
yejM b2188
proL b2189
yejO b2190
narP b2193
ccmH b2194
ccmG b2195
ccmF b2196
ccmE b2197
ccmD b2198
ccmC b2199
ccmB b2200
ccmA b2201
napC b2202
napB b2203
napH b2204
napG b2205
napA b2206
napD b2207
napF b2208
eco b2209
mqo b2210
yojI b2211
alkB b2212
ada b2213
yojL b2214
ompC b2215
micF b4439
rcsD b2216
rcsB b2217
rcsC b2218
rcsC b2218
rcsC b2218
atoS b2219
atoC b2220
atoD b2221
atoA b2222
atoE b2223
atoB b2224
yfaP b2225
yfaQ b2226
yfaS b4500
yfaS b2228
yfaS b2227
yfaT b2229
yfaA b2230
gyrA b2231
ubiG b2232
yfaL b2233
nrdA b2234
nrdB b2235
yfaE b2236
inaA b2237
yfaH b2238
glpQ b2239
glpT b2240
glpA b2241
glpB b2242
glpC b2243
yfaD b2244
ypaA b4543
yfaU b2245
yfaV b2246
yfaW b2247
yfaX b2248
yfaY b2249
yfaZ b2250
yfaO b2251
ais b2252
yfbE b2253
yfbF b2254
yfbG b2255
yfbH b2256
arnT b2257
yfbW b4544
yfbJ b2258
pmrD b2259
menE b2260
menC b2261
menB b2262
yfbB b2263
menD b2264
menF b2265
elaB b2266
elaA b2267
elaC b2268
elaD b2269
yfbK b2270
yfbL b2271
yfbM b2272
yfbN b2273
yfbO b2274
yfbP b2275
nuoN b2276
nuoM b2277
nuoL b2278
nuoK b2279
nuoJ b2280
nuoI b2281
nuoH b2282
nuoG b2283
nuoF b2284
nuoE b2285
nuoC b2286
nuoB b2287
nuoA b2288
lrhA b2289
yfbQ b2290
yfbR b2291
yfbS b2292
yfbT b2293
yfbU b2294
yfbV b2295
ackA b2296
pta b2297
yfcC b2298
yfcD b2299
yfcE b2300
yfcF b2301
yfcG b2302
folX b2303
yfcH b2304
yfcI b2305
hisP b2306
hisM b2307
hisQ b2308
hisJ b2309
argT b2310
ubiX b2311
purF b2312
cvpA b2313
dedD b2314
folC b2315
accD b2316
dedA b2317
truA b2318
usg b2319
pdxB b2320
flk b2321
yfcJ b2322
fabB b2323
trmC b2324
yfcL b2325
yfcM b2326
yfcA b2327
mepA b2328
aroC b2329
prmB b2330
yfcN b2331
yfcO b2332
yfcP b2333
yfcQ b2334
yfcR b2335
yfcS b2336
yfcT b2337
yfcU b2338
yfcV b2339
sixA b2340
yfcX b2341
yfcY b2342
yfcZ b2343
fadL b2344
yfdF b2345
vacJ b2346
yfdC b2347
argW b2348
intS b2349
yfdG b2350
yfdH b2351
yfdI b2352
tfaS b2353
yfdK b2354
yfdL b2355
yfdM b2356
yfdN b2357
yfdO b2358
yfdP b2359
yfdQ b2360
yfdR b2361
yfdS b2362
yfdT b2363
ypdJ b4545
torI b4501
dsdC b2364
dsdX b2365
dsdA b2366
emrY b2367
emrK b2368
evgA b2369
evgS b2370
yfdE b2371
yfdV b2372
oxc b2373
frc b2374
yfdX b2375
ypdI b2376
yfdY b2377
ddg b2378
yfdZ b2379
ypdA b2380
ypdB b2381
ypdC b2382
ypdD b2383
ypdE b2384
ypdF b2385
ypdG b2386
ypdH b2387
glk b2388
yfeO b2389
ypeC b2390
mntH b2392
nupC b2393
yfeA b2395
alaX b2396
alaW b2397
yfeC b2398
yfeD b2399
gltX b2400
valU b2401
valX b2402
valY b2403
lysV b2404
xapR b2405
xapB b2406
xapA b2407
yfeN b2408
yfeR b2409
yfeH b2410
ypeB b4546
ligA b2411
zipA b2412
cysZ b2413
cysK b2414
ptsH b2415
ptsI b2416
crr b2417
pdxK b2418
yfeK b2419
yfeS b2420
cysM b2421
cysA b2422
cysW b2423
cysU b2424
cysP b2425
ucpA b2426
yfeT b2427
yfeU b2428
murP b2429
yfeW b2430
yfeX b2431
yfeY b2432
yfeZ b2433
ypeA b2434
amiA b2435
hemF b2436
yfeG b2437
yffI b2438
eutL b2439
eutC b2440
eutB b2441
intZ b2442
yffL b2443
yffM b2444
yffN b2445
yffO b2446
yffP b2447
yffQ b2448
yffR b2449
yffS b2450
eutA b2451
eutH b2452
eutG b2453
eutJ b2454
eutE b2455
cchB b2456
cchA b2457
eutI b2458
eutT b2459
eutQ b2460
eutP b2461
ypfE b2462
maeB b2463
talA b2464
tktB b2465
ypfG b2466
yffH b2467
aegA b2468
narQ b2469
acrD b2470
yffB b2471
dapE b2472
ypfN b4547
ypfH b2473
ypfI b2474
ypfJ b2475
purC b2476
nlpB b2477
dapA b2478
gcvR b2479
bcp b2480
hyfA b2481
hyfB b2482
hyfC b2483
hyfD b2484
hyfE b2485
hyfF b2486
hyfG b2487
hyfH b2488
hyfI b2489
hyfJ b2490
hyfR b2491
focB b2492
yfgO b2493
yfgC b2494
yfgD b2495
hda b2496
uraA b2497
upp b2498
purM b2499
purN b2500
ppk b2501
ppx b2502
yfgF b2503
yfgG b2504
yfgH b2505
yfgI b2506
guaA b2507
guaB b2508
xseA b2509
yfgJ b2510
der b2511
yfgL b2512
yfgM b2513
hisS b2514
ispG b2515
yfgA b2516
yfgB b2517
ndk b2518
pbpC b2519
yfhM b2520
sseA b2521
ryfA b4440
sseB b2522
pepB b2523
yfhJ b2524
fdx b2525
hscA b2526
hscB b2527
iscA b2528
iscU b2529
iscS b2530
iscR b2531
yfhQ b2532
suhB b2533
yfhR b2534
csiE b2535
hcaT b2536
hcaR b2537
hcaE b2538
hcaF b2539
hcaC b2540
hcaB b2541
hcaD b2542
yphA b2543
yphB b2544
yphC b2545
yphD b2546
yphE b2547
yphF b2548
yphG b2549
yphH b2550
glyA b2551
hmp b2552
glnB b2553
yfhA b2554
yfhG b2555
yfhK b2556
sroF b4441
purL b2557
yfhD b2558
tadA b2559
yfhB b2560
yfhH b2561
yfhL b2562
acpS b2563
pdxJ b2564
recO b2565
era b2566
rnc b2567
lepB b2568
lepA b2569
rseC b2570
rseB b2571
rseA b2572
rpoE b2573
nadB b2574
yfiC b2575
srmB b2576
yfiE b2577
yfiK b2578
yfiD b2579
ung b2580
yfiF b2581
trxC b2582
yfiP b2583
yfiQ b2584
pssA b2585
yfiM b2586
kgtP b2587
rrfG b2588
rrlG b2589
gltW b2590
rrsG b2591
clpB b2592
yfiH b2593
rluD b2594
yfiO b2595
yfiA b2597
pheL b2598
pheA b2599
tyrA b2600
aroF b2601
yfiL b2602
yfiR b2603
yfiN b2604
yfiB b2605
rplS b2606
trmD b2607
rimM b2608
rpsP b2609
ffh b2610
ypjD b2611
yfjD b4461
grpE b2614
yfjB b2615
recN b2616
smpA b2617
yfjF b2618
yfjG b2619
smpB b2620
ssrA b2621
intA b2622
yfjH b2623
alpA b2624
yfjI b2625
yfjJ b2626
yfjK b2627
yfjL b2628
yfjM b2629
yfjN b2630
yfjO b2631
yfjP b2632
yfjQ b2633
yfjR b2634
ypjK b2635
yfjS b2636
yfjT b2637
yfjU b2638
ypjL b2639
yfjV b2640
ypjM b2641
yfjW b2642
yfjX b2643
yfjY b2644
ypjJ b4548
yfjZ b2645
ypjF b2646
ypjA b2647
pinH b2648
ypjB b2649
ypjC b2650
ileY b2652
ygaQ b2654
ygaR b4462
yqaC b2657
yqaD b2658
ygaT b2659
ygaF b2660
gabD b2661
gabT b2662
gabP b2663
csiR b2664
ygaU b2665
yqaE b2666
ygaV b2667
ygaP b2668
stpA b2669
ygaW b2670
ygaC b2671
ygaM b2672
nrdH b2673
nrdI b2674
nrdE b2675
nrdF b2676
proV b2677
proW b2678
proX b2679
ygaX b2680
ygaY b2681
ygaZ b2682
ygaH b2683
mprA b2684
emrA b2685
emrB b2686
luxS b2687
sraD b4442
gshA b2688
yqaA b2689
yqaB b2690
argQ b2691
argZ b2692
argY b2693
argV b2694
serV b2695
csrA b2696
alaS b2697
recX b2698
recA b2699
ygaD b2700
mltB b2701
srlA b2702
srlE b2703
srlB b2704
srlD b2705
gutM b2706
srlR b2707
gutQ b2708
norR b2709
norV b2710
norW b2711
hypF b2712
hydN b2713
ascG b2714
ascF b2715
ascB b2716
hycI b2717
hycH b2718
hycG b2719
hycF b2720
hycE b2721
hycD b2722
hycC b2723
hycB b2724
hycA b2725
hypA b2726
hypB b2727
hypC b2728
hypD b2729
hypE b2730
fhlA b2731
ygbA b2732
mutS b2733
pphB b2734
ygbI b2735
ygbJ b2736
ygbK b2737
ygbL b2738
ygbM b2739
ygbN b2740
rpoS b2741
nlpD b2742
pcm b2743
surE b2744
truD b2745
ispF b2746
ispD b2747
ftsB b2748
ygbE b2749
cysC b2750
cysN b2751
cysD b2752
iap b2753
ygbF b2754
ygbT b2755
ygcH b2756
ygcI b2757
ygcJ b2758
ygcK b2759
ygcL b2760
ygcB b2761
cysH b2762
cysI b2763
cysJ b2764
ygcM b2765
ygcN b2766
ygcO b2767
ygcP b2768
ygcQ b2769
ygcR b2770
ygcS b2771
ygcU b4463
ygcW b2774
yqcE b2775
ygcE b2776
ygcF b2777
ygcG b2778
eno b2779
pyrG b2780
mazG b2781
chpA b2782
chpR b2783
relA b2784
rumA b2785
barA b2786
gudD b2787
gudX b2788
gudP b2789
yqcA b2790
yqcB b2791
yqcC b2792
csrB b4408
syd b2793
yqcD b2794
ygdH b2795
sdaC b2796
sdaB b2797
exo b2798
fucO b2799
fucA b2800
fucP b2801
fucI b2802
fucK b2803
fucU b2804
fucR b2805
ygdE b2806
ygdD b2807
gcvA b2808
gcvB b4443
ygdI b2809
csdA b2810
ygdK b2811
ygdL b2812
mltA b2813
metZ b2814
metW b2815
metV b2816
amiC b2817
argA b2818
recD b2819
recB b2820
ptr b2821
recC b2822
ppdC b2823
ygdB b2824
ppdB b2825
ppdA b2826
thyA b2827
lgt b2828
ptsP b2829
nudH b2830
mutH b2831
ygdQ b2832
ygdR b2833
tas b2834
ygeD b2835
aas b2836
rygA b4444
rygB b4445
galR b2837
lysA b2838
lysR b2839
ygeA b2840
araE b2841
kduD b2842
kduI b2843
yqeF b2844
yqeG b2845
yqeH b2846
yqeI b2847
yqeJ b2848
yqeK b2849
ygeF b2850
ygeG b2851
ygeH b2852
ygeI b2853
pbl b2854
ygeK b2855
ygeL b2856
ygeM b2857
ygeN b2858
ygeO b2859
ygeP b2862
ygeQ b2863
glyU b2864
ygeR b2865
xdhA b2866
xdhB b2867
xdhC b2868
ygeV b2869
ygeW b2870
ygeX b2871
ygeY b2872
hyuA b2873
yqeA b2874
yqeB b2875
yqeC b2876
ygfJ b2877
ygfK b2878
ssnA b2879
ygfM b2880
xdhD b2881
ygfO b2882
guaD b2883
ygfQ b4464
ygfS b2886
ygfT b2887
ygfU b2888
idi b2889
lysS b2890
prfB b2891
recJ b2892
dsbC b2893
xerD b2894
fldB b2895
ygfX b2896
ygfY b2897
ygfZ b2898
yqfA b2899
yqfB b2900
bglA b2901
ygfF b2902
gcvP b2903
gcvH b2904
gcvT b2905
visC b2906
ubiH b2907
pepP b2908
ygfB b2909
zapA b2910
ssrS b2911
ygfA b2912
rygC b4446
serA b2913
rpiA b2914
yqfE b2915
argP b2916
yliK b2917
argK b2918
ygfG b2919
ygfH b2920
ygfI b2921
yggE b2922
argO b2923
mscS b2924
fbaA b2925
pgk b2926
epd b2927
yggC b2928
yggD b2929
yggF b2930
yggP b4465
cmtA b2933
cmtB b2934
tktA b2935
yggG b2936
speB b2937
speA b2938
yqgB b2939
yqgC b2940
yqgD b2941
metK b2942
galP b2943
sprT b2944
endA b2945
yggJ b2946
gshB b2947
yqgE b2948
yqgF b2949
yggR b2950
yggS b2951
yggT b2952
yggU b2953
yggV b2954
yggW b2955
yggM b2956
ansB b2957
yggN b2958
yggL b2959
yggH b2960
mutY b2961
yggX b2962
mltC b2963
nupG b2964
speC b2965
yqgA b2966
pheV b2967
yghD b2968
yghE b2969
yghF b2970
yghG b2971
pppA b2972
yghJ b4466
yghK b2975
glcB b2976
glcG b2977
glcF b4467
glcE b4468
glcD b2979
glcC b2980
yghO b2981
yghQ b2983
yghR b2984
yghS b2985
yghT b2986
pitB b2987
gss b2988
yghU b2989
hybG b2990
hybF b2991
hybE b2992
hybD b2993
hybC b2994
hybB b2995
hybA b2996
hybO b2997
yghW b2998
yghX b2999
yghY b3000
yghZ b3001
yqhA b3002
yghA b3003
exbD b3005
exbB b3006
metC b3008
yghB b3009
yqhC b3010
yqhD b3011
dkgA b3012
yqhG b3013
yqhH b3014
ygiQ b4469
sufI b3017
plsC b3018
parC b3019
ygiS b3020
ygiT b3021
ygiU b3022
ygiV b3023
ygiW b3024
qseB b3025
qseC b3026
ygiZ b3027
mdaB b3028
ygiN b3029
parE b3030
yqiA b3031
cpdA b3032
yqiB b3033
nudF b3034
tolC b3035
ygiA b3036
ygiB b3037
ygiC b3038
zupT b3039
ygiE b3040
ribB b3041
yqiC b3042
ygiL b3043
yqiG b3046
yqiH b3047
yqiI b3048
glgS b3049
yqiJ b3050
yqiK b3051
rygD b4447
rfaE b3052
glnE b3053
ygiF b3054
htrG b3055
cca b3056
bacA b3057
folB b3058
ygiH b3059
ygiP b3060
ttdA b3061
ttdB b3062
ygjE b3063
ygjD b3064
rpsU b3065
dnaG b3066
rpoD b3067
ygjF b3068
ileX b3069
yqjH b3070
yqjI b3071
aer b3072
ygjG b3073
ygjH b3074
ebgR b3075
ebgA b3076
ebgC b3077
ygjI b3078
ygjJ b3079
ygjK b3080
fadH b3081
ygjM b3082
ygjN b3083
ygjO b3084
ygjP b3085
ygjQ b3086
ygjR b3087
sraF b4448
alx b3088
sstT b3089
ygjV b3090
uxaA b3091
uxaC b3092
exuT b3093
exuR b3094
yqjA b3095
yqjB b3096
yqjC b3097
yqjD b3098
yqjE b3099
yqjK b3100
yqjF b3101
yqjG b3102
yhaH b3103
yhaI b3104
yhaJ b3105
yhaK b3106
yhaL b3107
yhaM b4470
yhaO b3110
tdcG b4471
tdcF b3113
tdcE b3114
tdcD b3115
tdcC b3116
tdcB b3117
tdcA b3118
tdcR b3119
yhaB b3120
yhaC b3121
rnpB b3123
garK b3124
garR b3125
garL b3126
garP b3127
garD b3128
sohA b3129
yhaV b3130
agaR b3131
kbaZ b3132
agaV b3133
agaW b3134
agaA b3135
agaS b3136
kbaY b3137
agaB b3138
agaC b3139
agaD b3140
agaI b3141
yraH b3142
yraI b3143
yraJ b3144
yraK b3145
yraL b3146
yraM b3147
yraN b3148
yraO b3149
yraP b3150
yraQ b3151
yraR b3152
yhbO b3153
yhbP b3154
yhbQ b3155
yhbS b3156
yhbT b3157
yhbU b3158
yhbV b3159
yhbW b3160
mtr b3161
deaD b3162
nlpI b3163
pnp b3164
sraG b4449
rpsO b3165
truB b3166
rbfA b3167
infB b3168
nusA b3169
yhbC b3170
metY b3171
argG b3172
yhbX b3173
leuU b3174
secG b3175
glmM b3176
folP b3177
ftsH b3178
rrmJ b3179
yhbY b3180
greA b3181
dacB b3182
obgE b3183
yhbE b3184
rpmA b3185
rplU b3186
ispB b3187
sfsB b3188
murA b3189
yrbA b3190
yrbB b3191
yrbC b3192
yrbD b3193
yrbE b3194
yrbF b3195
yrbG b3196
kdsD b3197
kdsC b3198
yrbK b3199
yhbN b3200
yhbG b3201
rpoN b3202
yhbH b3203
ptsN b3204
yhbJ b3205
npr b3206
yrbL b3207
mtgA b3208
elbB b3209
ryhA b4450
arcB b3210
yhcC b3211
gltB b3212
gltD b3213
gltF b3214
yhcA b3215
yhcD b3216
yhcE b4569
yhcE b4549
yhcE b3217
yhcF b3219
yhcG b3220
yhcH b3221
nanK b3222
nanE b3223
nanT b3224
nanA b3225
nanR b3226
dcuD b3227
sspB b3228
sspA b3229
rpsI b3230
rplM b3231
yhcM b3232
yhcB b3233
degQ b3234
degS b3235
mdh b3236
argR b3237
yhcN b3238
yhcO b3239
aaeB b3240
aaeA b3241
aaeX b3242
aaeR b3243
tldD b3244
yhdP b4472
rng b3247
yhdE b3248
mreD b3249
mreC b3250
mreB b3251
yhdA b3252
yhdH b3253
accB b3255
accC b3256
yhdT b3257
panF b3258
prmA b3259
dusB b3260
fis b3261
yhdJ b3262
yhdU b3263
envR b3264
acrE b3265
acrF b3266
yhdV b3267
yhdW b3268
yhdX b3269
yhdY b3270
yhdZ b3271
rrfF b3272
thrV b3273
rrfD b3274
rrlD b3275
alaU b3276
ileU b3277
rrsD b3278
yrdA b3279
yrdB b3280
aroE b3281
yrdC b3282
yrdD b3283
smg b3284
smf b4473
def b3287
fmt b3288
rsmB b3289
trkA b3290
mscL b3291
yhdL b4550
zntR b3292
yhdN b3293
rplQ b3294
rpoA b3295
rpsD b3296
rpsK b3297
rpsM b3298
rpmJ b3299
secY b3300
rplO b3301
rpmD b3302
rpsE b3303
rplR b3304
rplF b3305
rpsH b3306
rpsN b3307
rplE b3308
rplX b3309
rplN b3310
rpsQ b3311
rpmC b3312
rplP b3313
rpsC b3314
rplV b3315
rpsS b3316
rplB b3317
rplW b3318
rplD b3319
rplC b3320
rpsJ b3321
pioO b3322
gspA b3323
gspC b3324
gspD b3325
gspE b3326
gspF b3327
gspG b3328
gspH b3329
gspI b3330
gspJ b3331
gspK b3332
gspL b3333
gspM b3334
gspO b3335
bfr b3336
bfd b3337
chiA b3338
tufA b3339
fusA b3340
rpsG b3341
rpsL b3342
yheL b3343
yheM b3344
yheN b3345
yheO b3346
fkpA b3347
slyX b3348
slyD b3349
yheV b4551
kefB b3350
kefG b3351
yheS b3352
yheT b3353
yheU b3354
prkB b3355
yhfA b3356
crp b3357
yhfK b3358
argD b3359
pabA b3360
fic b3361
yhfG b3362
ppiA b3363
tsgA b3364
nirB b3365
nirD b3366
nirC b3367
cysG b3368
yhfL b3369
frlA b3370
frlB b3371
frlC b4474
frlD b3374
frlR b3375
yhfS b3376
yhfT b3377
yhfU b3378
php b3379
yhfW b3380
yhfX b3381
yhfY b3382
yhfZ b3383
trpS b3384
gph b3385
rpe b3386
dam b3387
damX b3388
aroB b3389
aroK b3390
hofQ b3391
yrfA b3392
yrfB b3393
yrfC b3394
yrfD b3395
mrcA b3396
nudE b3397
yrfF b3398
yrfG b3399
hslR b3400
hslO b3401
yhgE b3402
pck b3403
envZ b3404
ompR b3405
greB b3406
yhgF b3407
feoA b3408
feoB b3409
yhgG b3410
yhgA b3411
bioH b3412
gntX b3413
gntY b3414
gntT b3415
malQ b3416
malP b3417
malT b3418
rtcA b4475
rtcB b3421
rtcR b3422
glpR b3423
glpG b3424
glpE b3425
glpD b3426
yzgL b3427
glgP b3428
glgA b3429
glgC b3430
glgX b3431
glgB b3432
asd b3433
yhgN b3434
gntU b4476
gntK b3437
gntR b3438
yhhW b3439
yhhX b3440
ryhB b4451
yhhY b3441
yhhZ b3442
yrhA b3443
yrhB b3446
ggt b3447
yhhA b3448
ugpQ b3449
ugpC b3450
ugpE b3451
ugpA b3452
ugpB b3453
livF b3454
livG b3455
livM b3456
livH b3457
livK b3458
yhhK b3459
livJ b3460
rpoH b3461
ftsX b3462
ftsE b3463
ftsY b3464
yhhF b3465
yhhL b3466
yhhM b3467
yhhN b3468
zntA b3469
yhhP b3470
yhhQ b3471
dcrB b3472
yhhS b3473
yhhT b3474
acpT b3475
nikA b3476
nikB b3477
nikC b3478
nikD b3479
nikE b3480
nikR b3481
rhsB b3482
yhhH b3483
yrhC b4552
yhhI b3484
yhhJ b3485
rbbA b3486
yhiI b3487
yhiJ b3488
yhiK b3489
yhiL b3490
yhiM b3491
yhiN b3492
pitA b3493
yhiO b3494
uspA b3495
yhiP b3496
yhiQ b3497
prlC b3498
yhiR b3499
gor b3500
arsR b3501
arsB b3502
arsC b3503
yhiS b3504
slp b3506
yhiF b3507
yhiD b3508
hdeB b3509
hdeA b3510
hdeD b3511
gadE b3512
mdtE b3513
mdtF b3514
gadW b3515
gadY b4452
gadX b3516
gadA b3517
yhjA b3518
treF b3519
yhjB b3520
yhjC b3521
yhjD b3522
yhjE b3523
yhjG b3524
yhjH b3525
kdgK b3526
yhjJ b3527
dctA b3528
yhjK b3529
bcsC b3530
bcsZ b3531
bcsB b3532
bcsA b3533
yhjQ b3534
yhjR b3535
bcsE b3536
bcsF b3537
bcsG b3538
ldrD b4453
rdlD b4454
yhjV b3539
dppF b3540
dppD b3541
dppC b3542
dppB b3543
dppA b3544
proK b3545
eptB b3546
yhjX b3547
yhjY b3548
tag b3549
yiaC b3550
bisC b3551
yiaD b3552
tiaE b3553
yiaF b3554
yiaG b3555
cspA b3556
hokA b4455
insJ b3557
insK b3558
glyS b3559
glyQ b3560
ysaB b4553
yiaH b3561
yiaA b3562
yiaB b3563
xylB b3564
xylA b3565
xylF b3566
xylG b3567
xylH b3568
xylR b3569
bax b3570
malS b3571
avtA b3572
yiaI b3573
yiaJ b3574
yiaK b3575
yiaL b3576
yiaM b3577
yiaN b3578
yiaO b3579
lyxK b3580
sgbH b3581
sgbU b3582
sgbE b3583
yiaT b3584
yiaU b3585
yiaV b3586
yiaW b3587
aldB b3588
yiaY b3589
selB b3590
selA b3591
yibF b3592
rhsA b3593
yibA b3594
yibJ b3595
yibG b3596
yibH b3597
yibI b3598
mtlA b3599
mtlD b3600
mtlR b3601
yibT b4554
yibL b3602
lldP b3603
lldR b3604
lldD b3605
yibK b3606
cysE b3607
gpsA b3608
secB b3609
grxC b3610
yibN b3611
gpmI b3612
envC b3613
yibQ b3614
yibD b3615
tdh b3616
kbl b3617
htrL b3618
rfaD b3619
rfaF b3620
rfaC b3621
rfaL b3622
rfaK b3623
rfaZ b3624
rfaY b3625
rfaJ b3626
rfaI b3627
rfaB b3628
rfaS b3629
rfaP b3630
rfaG b3631
rfaQ b3632
kdtA b3633
coaD b3634
mutM b3635
rpmG b3636
rpmB b3637
yicR b3638
dfp b3639
dut b3640
ttk b3641
pyrE b3642
rph b3643
yicC b3644
dinD b3645
yicG b3646
ligB b3647
gmk b3648
rpoZ b3649
spoT b3650
trmH b3651
recG b3652
gltS b3653
yicE b3654
yicH b3655
yicI b3656
yicJ b3657
selC b3658
setC b3659
yicL b3660
nlpA b3661
yicS b4555
yicM b3662
yicN b3663
yicO b3664
ade b3665
uhpT b3666
uhpC b3667
uhpB b3668
uhpA b3669
ilvN b3670
ilvB b3671
ivbL b3672
emrD b3673
yidF b3674
yidG b3675
yidH b3676
yidI b3677
yidJ b3678
yidK b3679
yidL b3680
ysdC b4556
glvG b3681
glvB b3682
glvC b3683
yidP b3684
yidE b3685
