PGAMT
G1PACT
ALAALAr
PAPPT3
GF6PTA
3OAS161
3OAS141
3OAS80
3OAS60
UGMDDS
UAMAGS
UAGPT3
UDCPDP
UAMAS
UAAGDS
T2DECAI
UAGDP
UAGCVT
3OAR40
3OAR121
3OAR100
3HAD80
3OAR161
3OAR141
3OAR140
3HAD141
3HAD121
3HAD100
3HAD60
3HAD40
3HAD161
3OAS121
3OAS100
3OAR60
3OAR80
3OAS140
PANTS
OPHBDC
PMPK
PERD
AMPMS2
PMDPHT
MEPCT
MECDPS
MECDPDH5
OHPBAT
NNDPR
NADK
UDCPDPS
TMPPP
THZPSN3
OCTDPS
UPPDC1
UPP3S
PPCDC
PPBNGS
PNTK
SHCHF
SHCHD2
RBFSb
HBZOPT
DXPRIi
DPCOAK
DMATT
APRAUR
FMNAT
FCLT
CDPMEK
DHFS
E4PD
GLNS
DASYN161
AGPAT160
AGPAT161
G3PAT161
G3PAT160
PSD160
PSD161
PSSA160
PSSA161
DASYN160
PRMICI
ATPPRT
PRATPP
PRAMPC
HISTP
HSTPT
IG3PS
IGPDH
U23GAAT
UAGAAT
MOAT
KDOCT2
LPADSS
UHGADA
TDSK
MOAT2
USHD
MCOATA
METAT
MCTP1App
NNATr
NDPK4
NDPK2
DTMPK
UMPK
OMPDC
CTPS2
IMPC
ADSL2r
AICART
DHORTS
PRAIS
PRASCSi
PRFGS
GLUPRT
ASPCT
PRAGSr
ORPT
ASPK
ASAD
DAPDC
DHDPS
CHORM
SHKK
DHQTi
DHQS
DDPA
IGPS
PSCVT
ANPRT
PRAIi
CHORS
IPPMIb
IPPS
DHAD2
IPMD
OMCDC
IPPMIa
