2 3 4 5
ECK0764 bioB bioB b0775
ECK0765 bioF bioF b0776
ECK0766 bioC bioC b0777
ECK0767 bioD bioD b0778
ECK0768 uvrB uvrB dar-1
ECK0769 ybhK ybhK b0780
ECK0770 moaA moaA bisA
ECK0771 moaB moaB chlA2
ECK0772 moaC moaC chlA3
ECK0773 moaD moaD chlM
ECK0774 moaE moaE chlA5
ECK0775 ybhL ybhL b0786
ECK0776 ybhM ybhM b0787
ECK0777 ybhN ybhN b0788
ECK0778 ybhO ybhO b0789
ECK0779 ybhP ybhP b0790
ECK0780 ybhQ ybhQ b0791
ECK0781 ybhR ybhR b0792
ECK0782 ybhS ybhS b0793
ECK0783 ybhF ybhF b0794
ECK0784 ybhG ybhG b0795
ECK0785 ybiH ybiH b0796
ECK0786 rhlE rhlE b0797
ECK0787 ybiA ybiA b0798
ECK0788 dinG dinG rarB
ECK0789 ybiB ybiB b0800
ECK0790 ybiC ybiC b0801
ECK0791 ybiJ ybiJ b0802
ECK0792 ybiI ybiI b0803
ECK0793 ybiX ybiX b0804
ECK0794 fiu fiu ybiL
ECK0795 ybiM ybiM b0806
ECK0796 ybiN ybiN b0807
ECK0797 ybiO ybiO b0808
ECK0798 glnQ glnQ b0809
ECK0799 glnP glnP b0810
ECK0800 glnH glnH b0811
ECK0801 dps dps pexB
ECK0802 rhtA rhtA ybiF
ECK0803 ompX ompX ompP
ECK0804 ybiP ybiP b0815
ECK0805 yliL yliL b0816
ECK0806 rybA rybA b4416
ECK0807 mntR mntR ybiQ
ECK0808 ybiR ybiR b0818
ECK0809 ybiS ybiS b0819
ECK0810 ybiT ybiT b0820
ECK0811 ybiU ybiU b0821
ECK0812 ybiV ybiV b0822
ECK0813 ybiW ybiW pflF
ECK0814 ybiY ybiY pflE
ECK0815 fsaA fsaA fsa
ECK0816 moeB moeB chlN
ECK0817 moeA moeA bisB
ECK0818 iaaA iaaA spt
ECK0819 yliA yliA b0829
ECK0820 yliB yliB b0830
ECK0821 yliC yliC b0831
ECK0822 yliD yliD b0832
ECK0823 yliE yliE b0833
ECK0824 yliF yliF b0834
ECK0825 yliG yliG b0835
ECK0826 yliH yliH b0836
ECK0827 yliI yliI b0837
ECK0828 yliJ yliJ b0838
ECK0829 dacC dacC pbp
ECK0830 deoR deoR nucR
ECK0831 ybjG ybjG b0841
ECK0832 cmr cmr cmlA
ECK0833 ybjH ybjH b0843
ECK0834 ybjI ybjI b0844
ECK0835 ybjJ ybjJ b0845
ECK0836 ybjK ybjK b0846
ECK0837 rybB rybB p25
ECK0838 ybjL ybjL b0847
ECK0839 ybjM ybjM b0848
ECK0840 grxA grxA grx
ECK0841 ybjC ybjC b0850
ECK0842 nfsA nfsA mdaA
ECK0843 rimK rimK nek
ECK0844 ybjN ybjN b0853
ECK0845 potF potF b0854
ECK0846 potG potG b0855
ECK0847 potH potH b0856
ECK0848 potI potI b0857
ECK0849 ybjO ybjO b0858
ECK0850 rumB rumB ybjF
ECK0851 artJ artJ b0860
ECK0852 artM artM b0861
ECK0853 artQ artQ b0862
ECK0854 artI artI b0863
ECK0855 artP artP b0864
ECK0856 ybjP ybjP b0865
ECK0857 ybjQ ybjQ b0866
ECK0858 ybjR ybjR b0867
ECK0859 ybjS ybjS b0868
ECK0860 ybjT ybjT b0869
ECK0861 ltaE ltaE ybjU
ECK0862 poxB poxB b0871
ECK0863 hcr hcr ybjV
ECK0864 hcp hcp ybjW
ECK0865 ybjE ybjE b0874
ECK0866 aqpZ aqpZ bniP
ECK0867 ybjD ybjD b0876
ECK0868 ybjX ybjX b0877
ECK0869 macA macA ybjY
ECK0870 macB macB ybjZ
ECK0871 cspD cspD cspH
ECK0872 clpS clpS yljA
ECK0873 clpA clpA lopD
ECK0874 serW serW b0883
ECK0875 infA infA bypA1
ECK0876 aat aat ycaA
ECK0877 cydC cydC mdrA
ECK0878 cydD cydD htrD
ECK0879 trxB trxB b0888
ECK0880 lrp lrp ihb
ECK0881 ftsK ftsK dinH
ECK0882 lolA lolA lplA
ECK0883 ycaJ ycaJ b0892
ECK0884 serS serS b0893
ECK0885 dmsA dmsA b0894
ECK0886 dmsB dmsB b0895
ECK0887 dmsC dmsC b0896
ECK0888 ycaC ycaC b0897
ECK0889 ycaD ycaD b0898
ECK0890 ycaM ycaM b0899
ECK0891 ycaN ycaN b0900
ECK0892 ycaK ycaK b0901
ECK0893 pflA pflA act
ECK0894 pflB pflB pfl
ECK0895 focA focA ycaE
ECK0896 ycaO ycaO b0905
ECK0897 ycaP ycaP b0906
ECK0898 serC serC pdxC
ECK0899 aroA aroA b0908
ECK0900 ycaL ycaL b0909
ECK0901 cmk cmk mssA
ECK0902 rpsA rpsA ssyF
ECK0903 ihfB ihfB himD
ECK0904 ycaI ycaI b0913
ECK0905 msbA msbA b0914
ECK0906 lpxK lpxK ycaH
ECK0907 ycaQ ycaQ b0916
ECK0908 ycaR ycaR b0917
ECK0909 kdsB kdsB b0918
ECK0910 ycbJ ycbJ b0919
ECK0911 ycbC ycbC b0920
ECK0912 smtA smtA ycbD
ECK0913 mukF mukF kicB
ECK0914 mukE mukE kicA
ECK0915 mukB mukB b0924
ECK0916 ycbB ycbB b0925
ECK0917 ycbK ycbK b0926
ECK0918 ycbL ycbL b0927
ECK0919 aspC aspC b0928
ECK0920 ompF ompF cmlB
ECK0921 asnS asnS lcs
ECK0922 pncB pncB b0931
ECK0923 pepN pepN b0932
ECK0924 ssuB ssuB ycbE
ECK0925 ssuC ssuC ycbM
ECK0926 ssuD ssuD ycbM
ECK0927 ssuA ssuA ycbO
ECK0928 ssuE ssuE ycbE
ECK0929 ycbQ ycbQ b0938
ECK0930 ycbR ycbR b0939
ECK0931 ycbS ycbS b0940
ECK0932 ycbT ycbT b0941
ECK0933 ycbU ycbU b0942
ECK0934 ycbV ycbV b0943
ECK0935 ycbF ycbF b0944
ECK0936 pyrD pyrD b0945
ECK0937 ycbW ycbW b0946
ECK0938 ycbX ycbX b0947
ECK0939 ycbY ycbY b0948
ECK0940 uup uup ycbH
ECK0941 pqiA pqiA pqi5A
ECK0942 pqiB pqiB pqi5B
ECK0943 ymbA ymbA b0952
ECK0944 rmf rmf ramB
ECK0945 fabA fabA b0954
ECK0946 ycbZ ycbZ b0955
ECK0947 ycbG ycbG b0956
ECK0948 ompA ompA con
ECK0949 sulA sulA sfiA
ECK0950 yccR yccR b0959
ECK0951 yccS yccS b0960
ECK0952 yccF yccF b0961
ECK0953 helD helD srjB
ECK0954 mgsA mgsA yccG
ECK0955 yccT yccT b0964
ECK0956 yccU yccU b0965
ECK0957 yccV yccV b0966
ECK0958 yccW yccW b0967
ECK0959 yccX yccX b0968
ECK0960 yccK yccK b0969
ECK0961 yccA yccA b0970
ECK0962 serT serT divE
ECK0963 hyaA hyaA b0972
ECK0964 hyaB hyaB b0973
ECK0965 hyaC hyaC cybH
ECK0966 hyaD hyaD b0975
ECK0967 hyaE hyaE b0976
ECK0968 hyaF hyaF b0977
ECK0969 appC appC cyxA
ECK0970 appB appB cyxB
ECK0971 appA appA b0980
ECK0972 yccC yccC etk
ECK0973 etp etp yccY
ECK0974 yccZ yccZ b0983
ECK0975 ymcA ymcA b0984
ECK0976 ymcB ymcB b0985
ECK0977 ymcC ymcC b0986
ECK0978 ymcD ymcD b0987
ECK0979 cspH cspH cspK
ECK0980 cspG cspG cspI
ECK0981 ymcE ymcE gnsA
ECK0982 gnsA gnsA b4517
ECK0983 yccM yccM b0992
ECK0984 torS torS yccI
ECK0985 torT torT yccH
ECK0986 torR torR b0995
ECK0987 torC torC b0996
ECK0988 torA torA b0997
ECK0989 torD torD b0998
ECK0990 cbpM cbpM yccD
ECK0991 cbpA cbpA b1000
ECK0992 yccE yccE b1001
ECK0993 agp agp b1002
ECK0994 yccJ yccJ b1003
ECK0995 wrbA wrbA b1004
ECK0996 ymdF ymdF b4518
ECK0997 ycdG ycdG b1006
ECK0998 ycdH ycdH b1007
ECK0999 ycdI ycdI b1008
ECK1000 rarA rarA ycdJ
ECK1001 ycdK ycdK b1010
ECK1002 ycdL ycdL b1011
ECK1003 ycdM ycdM b1012
ECK1004 ycdC ycdC b1013
ECK1005 putA putA poaA
ECK1006 putP putP putC
ycdN ycdN b4490 1080570
ECK1007 ycdN ycdN_2 ycdN_frag2
ECK1007 ycdN ycdN_1 ycdN_frag1
ECK1008 ycdO ycdO b1018
ECK1009 ycdB ycdB b1019
ECK1010 phoH phoH psiH
ECK1011 ycdP ycdP hmsS
ECK1012 ycdQ ycdQ hmsR
ECK1013 ycdR ycdR hmsF
ECK1014 ycdS ycdS hmsH
ECK1015 ycdT ycdT b1025
ECK1016 ymdE ymdE b1028
ECK1017 ycdU ycdU b1029
ECK1018 serX serX b1032
ECK1019 ycdW ycdW b1033
ECK1020 ycdX ycdX b1034
ECK1021 ycdY ycdY b1035
ECK1022 ycdZ ycdZ b1036
ECK1023 csgG csgG b1037
ECK1024 csgF csgF b1038
ECK1025 csgE csgE b1039
ECK1026 csgD csgD b1040
ECK1027 csgB csgB b1041
ECK1028 csgA csgA b1042
ECK1029 csgC csgC ycdE
ECK1030 ymdA ymdA b1044
ECK1031 ymdB ymdB b1045
ECK1032 ymdC ymdC b1046
ECK1033 mdoC mdoC ymdD
ECK1034 mdoG mdoG opgG
ECK1035 mdoH mdoH mdoA
ECK1036 yceK yceK b1050
ECK1037 msyB msyB b1051
ECK1038 mdtG mdtG yceE
ECK1039 lpxL lpxL htrB
ECK1040 yceA yceA b1055
ECK1041 yceI yceI b1056
ECK1042 yceJ yceJ b1057
ECK1043 yceO yceO b1058
ECK1044 solA solA b1059
ECK1045 yceP yceP b1060
ECK1046 dinI dinI b1061
ECK1047 pyrC pyrC b1062
ECK1048 yceB yceB b1063
ECK1049 grxB grxB b1064
ECK1050 mdtH mdtH yceL
ECK1051 rimJ rimJ tcp
ECK1052 yceH yceH b1067
ECK1053 mviM mviM yceM
ECK1054 mviN mviN yceN
ECK1055 flgN flgN b1070
ECK1056 flgM flgM b1071
ECK1057 flgA flgA flaU
ECK1058 flgB flgB flbA
ECK1059 flgC flgC flaW
ECK1060 flgD flgD flaV
ECK1061 flgE flgE flaK
ECK1062 flgF flgF flaX
ECK1063 flgG flgG flaL
ECK1064 flgH flgH flaY
ECK1065 flgI flgI flaM
ECK1066 flgJ flgJ flaZ
ECK1067 flgK flgK flaS
ECK1068 flgL flgL flaT
ECK1069 rne rne ams
ECK1070 yceQ yceQ b1085
ECK1071 rluC rluC yceC
ECK1072 yceF yceF b1087
ECK1073 sraB sraB pke20
ECK1074 yceD yceD g30K
ECK1075 rpmF rpmF b1089
ECK1076 plsX plsX b1090
ECK1077 fabH fabH b1091
ECK1078 fabD fabD tpfA
ECK1079 fabG fabG b1093
ECK1080 acpP acpP b1094
ECK1081 fabF fabF cvc
ECK1082 pabC pabC b1096
ECK1083 yceG yceG b1097
ECK1084 tmk tmk ycfG
ECK1085 holB holB b1099
ECK1086 ycfH ycfH b1100
ECK1087 ptsG ptsG CR
ECK1088 fhuE fhuE b1102
ECK1089 hinT hinT ycfF
ECK1090 ycfL ycfL b1104
ECK1091 ycfM ycfM b1105
ECK1092 ycfN ycfN b1106
ECK1093 nagZ nagZ ycfO
ECK1094 ycfP ycfP b1108
ECK1095 ndh ndh b1109
ECK1096 ycfJ ycfJ b1110
ECK1097 ycfQ ycfQ b1111
ECK1098 ycfR ycfR b1112
ECK1099 ycfS ycfS b1113
ECK1100 mfd mfd b1114
ECK1101 ycfT ycfT b1115
ECK1102 lolC lolC ycfU
ECK1103 lolD lolD ycfV
ECK1104 lolE lolE ycfW
ECK1105 ycfX nagK ycfX
ECK1106 cobB cobB ycfY
ECK1107 ycfZ ycfZ b1121
ECK1108 ymfA ymfA b1122
ECK1109 potD potD b1123
ECK1110 potC potC b1124
ECK1111 potB potB b1125
ECK1112 potA potA b1126
ECK1113 pepT pepT b1127
ECK1114 ycfD ycfD b1128
ECK1115 phoQ phoQ b1129
ECK1116 phoP phoP b1130
ECK1117 purB purB ade(h)
ECK1118 hflD hflD ycfC
ECK1119 trmU trmU asuE
ECK1120 ymfB ymfB b1134
ECK1121 ymfC ymfC rluE
ECK1122 icd icd icdA
ECK1123 ymfD ymfD b1137
ECK1124 ymfE ymfE b1138
ECK1125 lit lit b1139
ECK1126 intE intE int(Lambda)
ECK1127 ymfG ymfG b1141
ECK1128 ymfH ymfH b1142
ECK1129 ymfI ymfI b1143
ECK1130 ymfJ ymfJ b1144
ECK1131 ymfK ymfK b1145
ECK1132 ymfT ymfT b1146
ECK1133 ymfL ymfL b1147
ECK1134 ymfM ymfM b1148
ECK1135 ymfN ymfN b1149
ECK1136 ymfR ymfR b1150
ECK1137 ymfO ymfO b1151
ECK1138 ymfP ymfP b1152
ECK1139 ymfQ ymfQ b1153
ECK1140 ycfK ycfK b1154
ECK1141 ymfS ymfS b1155
ECK1142 tfaE tfaE ycfA
ECK1143 stfE stfE ycfE
ECK1144 pin pin b1158
ECK1145 mcrA mcrA rglA
ECK1146 icdC icdC b4519
ECK1147 elbA elbA ycgW
ECK1148 ycgX ycgX b1161
ECK1149 ycgE ycgE b1162
ECK1150 ycgF ycgF b1163
ECK1151 ycgZ ycgZ b1164
ECK1152 ymgA ymgA b1165
ECK1153 ymgB ymgB b1166
ECK1154 ymgC ymgC b1167
ECK1155 ycgG ycgG b1168
ECK1156 ymgF ymgF b4520
ycgH ycgH b4491 1218824
ECK1157 ycgH ycgH_2 b1170
ECK1157 ycgH ycgH_1 b1169
ECK1158 ymgD ymgD b1171
ECK1159 ymgG ymgG b1172
ECK1160 ymgH ymgH b4521
ECK1161 ycgI ycgI b1173
ECK1162 minE minE minB
ECK1163 minD minD minB
ECK1164 minC minC minB
ECK1165 ycgJ ycgJ b1177
ECK1166 ycgK ycgK b1178
ECK1167 ycgL ycgL b1179
ECK1168 ycgM ycgM b1180
ECK1169 ycgN ycgN b1181
ECK1170 hlyE hlyE clyA
ECK1171 umuD umuD uvm
ECK1172 umuC umuC uvm
ECK1173 dsbB dsbB iarB
ECK1174 nhaB nhaB b1186
ECK1175 fadR fadR dec
ECK1176 ycgB ycgB b1188
ECK1177 dadA dadA dadR
ECK1178 dadX dadX alnA
ECK1179 cvrA cvrA ycgO
ECK1180 ldcA ldcA ycgQ
ECK1181 emtA emtA mltE
ECK1182 ycgR ycgR b1194
ECK1183 ymgE ymgE tag1
ECK1184 ycgY ycgY b1196
ECK1185 treA treA tre
ECK1186 dhaH dhaH dhaM
ECK1187 dhaL dhaL ycgS
ECK1188 dhaK dhaK ycgT
ECK1189 dhaR dhaR ptsD
ECK1190 ycgV ycgV b1202
ECK1191 ychF ychF gtp1
ECK1192 pth pth rap
ECK1193 ychH ychH b1205
ECK1194 ychM ychM b1206
ECK1195 prsA prsA dnaR
ECK1196 ispE ispE IPK
ECK1197 lolB lolB hemM
ECK1198 hemA hemA gtrA
ECK1199 prfA prfA sueB
ECK1200 prmC prmC hemK
ECK1201 ychQ ychQ b1213
ECK1202 ychA ychA b1214
ECK1203 kdsA kdsA b1215
ECK1204 ldrA ldrA b4419
ECK1205 rdlA rdlA b4420
ECK1206 ldrB ldrB b4421
ECK1207 rdlB rdlB b4422
ECK1208 ldrC ldrC b4423
ECK1209 rdlC rdlC b4424
ECK1210 chaA chaA b1216
ECK1211 chaB chaB b1217
ECK1212 chaC chaC b1218
ECK1213 ychN ychN b1219
ECK1214 ychP ychP ychO
ECK1215 narL narL frdR
ECK1216 narX narX frdR
ECK1217 narK narK b1223
ECK1218 narG narG chlC
ECK1219 narH narH chlC
ECK1220 narJ narJ b1226
ECK1221 narI narI chlI
ECK1222 ychS ychS b1228
ECK1223 rttR rtT rtV1
ECK1224 tpr tpr b1229
ECK1225 tyrV tyrV tyrT
ECK1226 tyrT tyrT Su-3
ECK1227 purU purU tgs
ECK1228 ychJ ychJ b1233
ECK1229 rssA rssA ychK
ECK1230 rssB rssB hnr
ECK1231 galU galU ychD
ECK1232 hns hns bglY
ECK1233 tdk tdk b1238
ychG ychG b4573 1293794
ECK1234 ychG ychG_1 b1240
ECK1234 ychG ychG_2 b1239
ECK1235 adhE adhE adhC
ECK1236 ychE ychE b1242
ECK1237 oppA oppA b1243
ECK1238 oppB oppB b1244
ECK1239 oppC oppC b1245
ECK1240 oppD oppD b1246
ECK1241 oppF oppF b1247
ECK1242 yciU yciU b1248
ECK1243 cls cls nov
ECK1244 kch kch b1250
ECK1245 yciI yciI b1251
ECK1246 tonB tonB T1rec
ECK1247 yciA yciA b1253
ECK1248 yciB yciB b1254
ECK1249 yciC yciC b1255
ECK1250 ompW ompW yciD
ECK1251 yciE yciE b1257
ECK1252 yciF yciF b1258
ECK1253 yciG yciG b1259
ECK1254 trpA trpA try
ECK1255 trpB trpB b1261
ECK1256 trpC trpC b1262
ECK1257 trpD trpD trpGD
ECK1258 trpE trpE anth
ECK1259 trpL trpL trpEE
ECK1260 yciV yciV trpH
ECK1261 yciO yciO b1267
ECK1262 yciQ yciQ yciP
ECK1263 rluB rluB yciL
ECK1264 btuR btuR cobA
ECK1265 yciK yciK b1271
ECK1266 sohB sohB b1272
ECK1267 yciN yciN b1273
ECK1268 topA topA supX
ECK1269 cysB cysB b1275
yciX yciX b4574 1333184
ECK1270 yciX yciX_2 b4523
ECK1270 yciX yciX_1 b4522
ECK1271 acnA acnA acn
ECK1272 ribA ribA b1277
ECK1273 pgpB pgpB b1278
ECK1274 yciS yciS b1279
ECK1275 yciM yciM b1280
ECK1276 pyrF pyrF URA-3
ECK1277 yciH yciH b1282
ECK1278 osmB osmB b1283
ECK1279 yciT yciT b1284
ECK1280 gmr gmr yciR
ECK1281 rnb rnb b1286
ECK1282 yciW yciW b1287
ECK1283 fabI fabI envM
ECK1284 ycjD ycjD b1289
ECK1285 sapF sapF b1290
ECK1286 sapD sapD trkE
ECK1287 sapC sapC b1292
ECK1288 sapB sapB b1293
ECK1289 sapA sapA b1294
ECK1290 ymjA ymjA b1295
ECK1291 puuP puuP ycjJ
ECK1292 puuA puuA ycjK
ECK1293 puuD puuD ycjL
ECK1294 puuR puuR ycjC
ECK1295 puuC puuC aldH
ECK1296 puuB puuB ycjA
ECK1297 puuE puuE goaG
ECK1298 pspF pspF ycjB
ECK1299 pspA pspA cog
ECK1300 pspB pspB b1305
ECK1301 pspC pspC b1306
ECK1302 pspD pspD b1307
ECK1303 pspE pspE b1308
ECK1304 ycjM ycjM sucP
ECK1305 ycjN ycjN b1310
ECK1306 ycjO ycjO b1311
ECK1307 ycjP ycjP b1312
ECK1308 ycjQ ycjQ b1313
ECK1309 ycjR ycjR b1314
ECK1310 ycjS ycjS b1315
ECK1311 ycjT ycjT b1316
ECK1312 ycjU ycjU pgmB
ECK1313 ycjV ycjV b1318
ECK1314 ymjB ymjB b4524
ECK1315 ompG ompG b1319
ECK1316 ycjW ycjW b1320
ECK1317 ycjX ycjX b1321
ECK1318 ycjF ycjF b1322
ECK1319 tyrR tyrR b1323
ECK1320 tpx tpx yzzJ
ECK1321 ycjG ycjG ycjH
ECK1322 mpaA mpaA ycjI
ECK1323 ymjC ymjC b4525
ECK1324 ycjY ycjY b1327
ECK1325 ycjZ ycjZ b1328
ECK1326 mppA mppA ynaH
ECK1327 ynaI ynaI b1330
ECK1328 ynaJ ynaJ b1332
ECK1329 uspE uspE ydaA
ECK1330 fnr fnr frdB
ECK1331 ogt ogt b1335
ECK1332 abgT abgT ydaH
ECK1333 abgB abgB ydaI
ECK1334 abgA abgA ydaJ
ECK1335 abgR abgR ydaK
ECK1336 isrA IS061 b4426
ECK1337 ydaL ydaL b1340
ECK1338 ydaM ydaM b1341
ECK1339 ydaN ydaN b1342
ECK1340 dbpA dbpA rhlC
ECK1341 ydaO ydaO b1344
ECK1342 intR intR ydaP
ECK1343 ydaQ ydaQ xisR
ECK1344 ydaC ydaC b1347
ECK1345 lar lar ydaB
ECK1346 recT recT b1349
ECK1347 recE recE rac
ECK1348 racC racC sbcA
ECK1349 ydaE ydaE b4526
ECK1350 kil kil ydaD
ECK1351 sieB sieB b1353
ECK1352 ydaF ydaF b4527
ECK1353 ydaG ydaG b1355
ECK1354 racR racR ydaR
ECK1355 ydaS ydaS b1357
ECK1356 ydaT ydaT b1358
ECK1357 ydaU ydaU b1359
ECK1358 ydaV ydaV b1360
ECK1359 ydaW ydaW b1361
ECK1360 rzpR rzpR ydaX
ECK1361 rzoR rzoR b4528
ECK1362 trkG trkG b1363
ECK1363 ynaK ynaK b1365
ECK1364 ydaY ydaY b1366
ECK1365 ynaA ynaA b1368
lomR lomR b4570 1425482
ECK1366 lomR lomR_2 b1371
ECK1366 lomR lomR_1 b1369
ECK1367 stfR stfR ynaB
ECK1368 tfaR tfaR ynaC
ECK1369 pinR pinR ynaD
ECK1370 ynaE ynaE b1375
ECK1371 uspF uspF ynaF
ECK1372 ompN ompN yaaG
ECK1373 micC tke8 IS063
ECK1374 ydbK ydbK nifJ
ECK1375 ydbJ ydbJ b4529
ECK1376 hslJ hslJ ydbI
ECK1377 ldhA ldhA hslF
ECK1378 ydbH ydbH b1381
ECK1379 ynbE ynbE b1382
ECK1380 ydbL ydbL b1383
ECK1381 feaR feaR maoB
ECK1382 feaB feaB padA
ECK1383 tynA tynA feaA
ECK1384 maoC maoC paaZ
ECK1385 paaA paaA ydbO
ECK1386 paaB paaB ynbF
ECK1387 paaC paaC ydbP
ECK1388 paaD paaD ydbQ
ECK1389 paaE paaE ydbR
ECK1390 paaF paaF ydbS
ECK1391 paaG paaG ydbT
ECK1392 paaH paaH ydbU
ECK1393 paaI paaI ydbV
ECK1394 paaJ paaJ ydbW
ECK1395 paaK paaK b1398
ECK1396 paaX paaX ydbY
ECK1397 paaY paaY ydbZ
ydbA ybda b4492 1463416
ECK1398 ydbA ydbA_2 b1405
ECK1398 ydbA ydbA_1 b1401
ECK1399 ydbC ydbC b1406
ECK1400 ydbD ydbD b1407
ECK1401 ynbA ynbA b1408
ECK1402 ynbB ynbB b1409
ECK1403 ynbC ynbC b1410
ECK1404 ynbD ynbD b1411
ECK1405 azoR azoR azoR
ECK1406 hrpA hrpA moc
ECK1407 ydcF ydcF b1414
ECK1408 aldA aldA ald
gapC gapC b4493 1487737
ECK1409 gapC gapC_1 b1417
ECK1409 gapC gapC_2 b1416
ECK1410 cybB cybB b1418
ECK1411 ydcA ydcA b1419
ECK1412 hokB hokB ydcB
ECK1413 mokB mokB b1420
ECK1414 sokB sokB b4429
ECK1415 trg trg b1421
ECK1416 ydcI ydcI b1422
ECK1417 ydcJ ydcJ b1423
ECK1418 mdoD mdoD ydcG
ECK1419 ydcH ydcH b1426
ECK1420 rimL rimL b1427
ECK1421 ydcK ydcK b1428
ECK1422 tehA tehA b1429
ECK1423 tehB tehB b1430
ECK1424 ydcL ydcL b1431
yncK yncK b4578 1501167
ECK1425 yncK yncK_2 b4531
ECK1425 yncK yncK_1 b4530
ECK1426 ydcM ydcM b1432
ECK1427 ydcO ydcO b1433
ECK1428 ydcN ydcN b1434
ECK1429 ydcP ydcP b1435
ECK1430 yncJ yncJ b1436
ECK1431 yncN yncN b4532
ECK1432 ydcQ ydcQ b1438
ECK1433 ydcR ydcR b1439
ECK1434 ydcS ydcS b1440
ECK1435 ydcT ydcT b1441
ECK1436 ydcU ydcU b1442
ECK1437 ydcV ydcV b1443
ECK1438 ydcW ydcW b1444
ECK1439 ydcX ydcX b1445
ECK1440 ydcY ydcY b1446
ECK1441 ydcZ ydcZ b1447
ECK1442 yncA yncA b1448
ECK1443 yncB yncB b1449
ECK1444 yncC yncC b1450
ECK1445 yncD yncD b1451
ECK1446 yncE yncE b1452
ECK1447 ansP ansP yncF
ECK1448 yncG yncG b1454
ECK1449 yncH yncH b1455
ECK1450 rhsE rhsE b1456
ECK1451 ydcD ydcD b1457
ECK1452 yncI yncI b1458
ECK1453 yncM yncM b1459
ECK1454 ydcC ydcC b1460
ECK1455 ydcE ydcE b1461
ECK1456 yddH yddH b1462
ECK1457 nhoA nhoA ydcE
ECK1458 yddE yddE b1464
ECK1459 narV narV chlZ
ECK1460 narW narW chlZ
ECK1461 narY narY chlZ
ECK1462 narZ narZ chlZ
ECK1463 narU narU yddF
ECK1464 yddJ yddJ b1470
ECK1465 yddK yddK b1471
ECK1466 yddL yddL b1472
ECK1467 yddG yddG b1473
ECK1468 fdnG fdnG b1474
ECK1469 fdnH fdnH b1475
ECK1470 fdnI fdnI b1476
ECK1471 yddM yddM b1477
ECK1472 adhP adhP yddN
ECK1473 sfcA sfcA mae
ECK1474 sra sra rpsV
ECK1475 bdm bdm yddX
ECK1476 osmC osmC b1482
ECK1477 ddpF ddpF yddO
ECK1478 ddpD ddpD yddP
ECK1479 ddpC ddpC yddQ
ECK1480 ddpB ddpB yddR
ECK1481 ddpA ddpA yddS
ECK1482 ddpX ddpX vanX
ECK1483 dos dos yddU
ECK1484 yddV yddV b1490
ECK1485 yddW yddW b1491
ECK1486 gadC gadC xas
ECK1487 gadB gadB b1493
ECK1488 pqqL pqqL pqqE
ECK1489 yddB yddB b1495
ECK1490 yddA yddA b1496
ECK1491 ydeM ydeM b1497
ECK1492 ydeN ydeN b1498
ECK1493 ydeO ydeO b1499
ECK1494 ydeP ydeP b1501
ECK1495 ydeQ ydeQ b1502
ECK1496 ydeR ydeR b1503
ECK1497 ydeS ydeS b1504
ECK1498 ydeT ydeT b1505
ECK1499 yneL yneL b1506
ECK1500 hipA hipA b1507
ECK1501 hipB hipB b1508
ECK1502 ydeU ydeU b1509
ECK1503 ydeK ydeK orfT
ECK1504 ydeV ydeV b1511
ECK1505 ydeW ydeW b1512
ECK1506 ego ego lsrA
ECK1507 lsrC lsrC ydeY
ECK1508 lsrD lsrD ydeZ
ECK1509 lsrB lsrB yneA
ECK1510 lsrF lsrF yneB
ECK1511 lsrG lsrG yneC
ECK1512 tam tam yneD
ECK1513 yneE yneE b1520
ECK1514 uxaB uxaB b1521
ECK1515 yneF yneF b1522
ECK1516 yneG yneG b1523
ECK1517 yneH yneH b1524
ECK1518 yneI yneI b1525
ECK1519 yneJ yneJ b1526
ECK1520 yneK yneK b1527
ECK1521 ydeA ydeA sotB
ECK1522 marC marC ydeB
ECK1523 marR marR cfxB
ECK1524 marA marA cfxB
ECK1525 marB marB b1532
ECK1526 eamA eamA ydeD
ECK1527 ydeE ydeE ydeF
ECK1528 ydeH ydeH ydeG
ECK1529 ydeI ydeI b1536
ECK1530 ydeJ ydeJ b1537
ECK1531 dcp dcp b1538
ECK1532 ydfG ydfG b1539
ECK1533 ydfH ydfH b1540
ECK1534 ydfZ ydfZ b1541
ECK1535 ydfI ydfI b1542
ECK1536 ydfJ ydfJ b1543
ECK1537 ydfK ydfK b1544
ECK1538 pinQ pinQ ydfL
ECK1539 tfaQ tfaQ ydfM
ECK1540 stfQ stfQ b1547
ECK1541 nohA nohA b1548
ECK1542 ynfO ynfO b4533
ECK1543 ydfO ydfO b1549
ECK1544 gnsB gnsB ydfY
ECK1545 ynfN ynfN b1551
ECK1546 cspI cspI cspJ
ECK1547 ydfP ydfP b1553
ECK1548 ydfQ ydfQ b1554
ECK1549 ydfR ydfR b1555
ECK1550 essQ essQ ydfS
ECK1551 cspB cspB b1557
ECK1552 cspF cspF b1558
ECK1553 ydfT ydfT b1559
ECK1554 ydfU ydfU b1560
ECK1555 rem rem b1561
ECK1556 hokD hokD relF
ECK1557 relE relE b1563
ECK1558 relB relB RC
ECK1559 ydfV ydfV b1565
ECK1560 flxA flxA b1566
ECK1561 ydfW ydfW b1567
ECK1562 ydfX ydfX b1568
ECK1563 dicC dicC ftsT
ECK1564 dicA dicA ftsT
ECK1565 ydfA ydfA b1571
ECK1566 ydfB ydfB b1572
ECK1567 ydfC ydfC b1573
