2 3 4 5
ECK0176 yaeT yaeT up05
ECK0177 hlpA hlpA firA
ECK0178 lpxD lpxD fir
ECK0179 fabZ fabZ sefA
ECK0180 lpxA lpxA b0181
ECK0181 lpxB lpxB pgsB
ECK0182 rnhB rnhB b0183
ECK0183 dnaE dnaE polC
ECK0184 accA accA b0185
ECK0185 ldcC ldcC ldc
ECK0186 yaeR yaeR b0187
ECK0187 tilS tilS mesJ
ECK0188 rof rof yaeO
ECK0189 yaeP yaeP b4406
ECK0190 yaeQ yaeQ b0190
ECK0191 yaeJ yaeJ b0191
ECK0192 nlpE nlpE cutF
ECK0193 yaeF yaeF yaeK
ECK0194 proS proS drp
ECK0195 yaeB yaeB b0195
ECK0196 rcsF rcsF b0196
ECK0197 metQ metQ yaeC
ECK0198 metI metI yaeE
ECK0199 metN metN abc
ECK0200 gmhB gmhB yaeD
ECK0201 rrsH rrsH b0201
ECK0202 ileV ileV b0202
ECK0203 alaV alaV b0203
ECK0204 rrlH rrlH b0204
ECK0205 rrfH rrfH b0205
ECK0206 aspU aspU b0206
ECK0207 dkgB dkgB yafB
ECK0208 yafC yafC b0208
ECK0209 yafD yafD b0209
ECK0210 yafE yafE b0210
ECK0211 mltD mltD dniR
ECK0212 gloB gloB yafR
ECK0213 yafS yafS b0213
ECK0214 rnhA rnhA cer
ECK0215 dnaQ dnaQ mutD
ECK0216 aspV aspV b0216
ECK0217 yafT yafT b0217
ECK0218 yafU yafU b0218
ECK0219 yafF yafF b4503
ECK0220 yafV yafV b0219
ECK0221 ivy ivy ykfE
ECK0222 fadE fadE yafH
ECK0223 lpcA lpcA gmhA
ECK0224 yafJ yafJ b0223
ECK0225 yafK yafK b0224
ECK0226 yafQ yafQ b0225
ECK0227 dinJ dinJ yebG
ECK0228 yafL yafL b0227
ECK0229 yafM yafM b0228
ECK0230 fhiA fhiA b0229
ECK0231 mbhA mbhA b0230
ECK0232 dinB dinB dinB
ECK0233 yafN yafN b0232
ECK0234 yafO yafO b0233
ECK0235 yafP yafP b0234
ECK0236 ykfJ ykfJ b0235
ECK0237 prfH prfH b0236
ECK0238 pepD pepD pepH
ECK0239 gpt gpt glyD
ECK0240 frsA frsA yafA
ECK0241 crl crl b0240
ECK0242 phoE phoE ompE
ECK0243 proB proB pro2
ECK0244 proA proA proL
ECK0245 thrW thrW b0244
ECK0246 ykfI ykfI b0245
ECK0247 yafW yafW b0246
ECK0248 ykfH ykfH b4504
ECK0249 ykfG ykfG b0247
ECK0250 yafX yafX b0248
ECK0251 ykfF ykfF b0249
ECK0252 ykfB ykfB b0250
ECK0253 yafY yafY b0251
ECK0254 yafZ yafZ b0252
ECK0255 ykfA ykfA b0253
ECK0256 perR perR katC
ECK0257 insN insN-1 yi91a
ECK0257 insN insN-2 yi91
ECK0258 insI insI-3 tra8-3
ECK0258 insI insI-2 tra8-2
ECK0258 insI insI-1 tra8-1
ECK0259 insO insO-1 b0257
ECK0260 ykfC ykfC b0258
ECK0261 insH insH unique
ECK0261 insH insH unique
ECK0261 insH insH unique
ECK0261 insH insH unique
ECK0261 insH insH unique
ECK0261 insH insH unique
ECK0261 insH insH unique
ECK0261 insH insH-11 trs5-11
ECK0261 insH insH-10 trs5-10
ECK0261 insH insH-9 yi52_9
ECK0261 insH insH-8 yi52_8
ECK0261 insH insH-7 yi52_7
ECK0261 insH insH-6 yi52_6
ECK0261 insH insH-5 yi52_5
ECK0261 insH insH-4 yi52_4
ECK0261 insH insH-3 yi52_3
ECK0261 insH insH-2 yi52_2
ECK0261 insH insH-1 trs5
ECK0262 mmuP mmuP ykfD
ECK0263 mmuM mmuM yagD
ECK0264 afuC afuC yagC
ECK0265 afuB afuB b0263
ECK0266 ykgN ykgN b4505
ECK0267 yagB yagB b0266
ECK0268 yagA yagA b0267
ECK0269 yagE yagE b0268
ECK0270 yagF yagF b0269
ECK0271 yagG yagG b0270
